County Name,State Name,Confirmed,Newly Confirmed,Death,New Death,Fatality Rate,STATEFP,COUNTYFP,Last Update
New York,New York,329,0,5,0,0.015,36,061,2020-03-16 13:00 EDT
Westchester,New York,196,0,0,0,0,36,119,2020-03-16 13:00 EDT
Nassau,New York,98,0,0,0,0,36,059,2020-03-16 13:00 EDT
Suffolk,New York,47,0,0,0,0,36,103,2020-03-16 13:00 EDT
Albany,New York,15,4,0,0,0,36,001,2020-03-16 13:00 EDT
Rockland,New York,13,0,1,0,0.077,36,087,2020-03-16 13:00 EDT
Monroe,New York,10,0,0,0,0,36,055,2020-03-16 13:00 EDT
Dutchess,New York,7,0,0,0,0,36,027,2020-03-16 13:00 EDT
Erie,New York,7,0,0,0,0,36,029,2020-03-16 13:00 EDT
Orange,New York,6,0,0,0,0,36,071,2020-03-16 13:00 EDT
Ulster,New York,5,0,0,0,0,36,111,2020-03-16 13:00 EDT
Saratoga,New York,3,0,0,0,0,36,091,2020-03-16 13:00 EDT
Schenectady,New York,2,0,0,0,0,36,093,2020-03-16 13:00 EDT
Putnam,New York,2,0,0,0,0,36,079,2020-03-16 13:00 EDT
Greene,New York,2,0,0,0,0,36,039,2020-03-16 13:00 EDT
Allegany,New York,2,0,0,0,0,36,003,2020-03-16 13:00 EDT
Delaware,New York,1,0,0,0,0,36,025,2020-03-16 13:00 EDT
Herkimer,New York,1,0,0,0,0,36,043,2020-03-16 13:00 EDT
Broome,New York,1,0,0,0,0,36,007,2020-03-16 13:00 EDT
Tompkins,New York,1,0,0,0,0,36,109,2020-03-16 13:00 EDT
Tioga,New York,1,0,0,0,0,36,107,2020-03-16 13:00 EDT
Montgomery,New York,1,0,0,0,0,36,057,2020-03-16 13:00 EDT
Onondaga,New York,1,1,0,0,0,36,067,2020-03-16 13:00 EDT
King,Washington,420,0,37,0,0.088,53,033,2020-03-16 13:00 EDT
Snohomish,Washington,176,0,4,0,0.023,53,061,2020-03-16 13:00 EDT
Pierce,Washington,29,0,0,0,0,53,053,2020-03-16 13:00 EDT
Island,Washington,6,0,0,0,0,53,029,2020-03-16 13:00 EDT
Skagit,Washington,4,0,0,0,0,53,057,2020-03-16 13:00 EDT
Yakima,Washington,4,0,0,0,0,53,077,2020-03-16 13:00 EDT
Grant,Washington,3,0,1,0,0.333,53,025,2020-03-16 13:00 EDT
Jefferson,Washington,3,0,0,0,0,53,031,2020-03-16 13:00 EDT
Clark,Washington,3,0,0,0,0,53,011,2020-03-16 13:00 EDT
Kittitas,Washington,3,0,0,0,0,53,037,2020-03-16 13:00 EDT
Kitsap,Washington,3,0,0,0,0,53,035,2020-03-16 13:00 EDT
Whatcom,Washington,3,0,0,0,0,53,073,2020-03-16 13:00 EDT
Thurston,Washington,3,0,0,0,0,53,067,2020-03-16 13:00 EDT
Spokane,Washington,3,0,0,0,0,53,063,2020-03-16 13:00 EDT
Grays Harbor,Washington,1,0,0,0,0,53,027,2020-03-16 13:00 EDT
Columbia,Washington,1,0,0,0,0,53,013,2020-03-16 13:00 EDT
Lincoln,Washington,1,0,0,0,0,53,043,2020-03-16 13:00 EDT
Cowlitz,Washington,1,0,0,0,0,53,015,2020-03-16 13:00 EDT
Santa Clara,California,114,0,2,0,0.018,06,085,2020-03-16 13:00 EDT
Los Angeles,California,69,0,1,0,0.014,06,037,2020-03-16 13:00 EDT
San Mateo,California,41,10,1,0,0.024,06,081,2020-03-16 13:00 EDT
San Francisco,California,37,0,0,0,0,06,075,2020-03-16 13:00 EDT
San Diego,California,35,0,0,0,0,06,073,2020-03-16 13:00 EDT
Sacramento,California,32,0,1,0,0.031,06,067,2020-03-16 13:00 EDT
Contra Costa,California,29,0,0,0,0,06,013,2020-03-16 13:00 EDT
Orange,California,17,0,0,0,0,06,059,2020-03-16 13:00 EDT
Alameda,California,15,0,0,0,0,06,001,2020-03-16 13:00 EDT
Riverside,California,14,0,0,0,0,06,065,2020-03-16 13:00 EDT
Marin,California,9,0,0,0,0,06,041,2020-03-16 13:00 EDT
San Joaquin,California,8,0,0,0,0,06,077,2020-03-16 13:00 EDT
Solano,California,7,0,0,0,0,06,095,2020-03-16 13:00 EDT
Santa Cruz,California,7,0,0,0,0,06,087,2020-03-16 13:00 EDT
Placer,California,5,0,1,0,0.2,06,061,2020-03-16 13:00 EDT
Sonoma,California,4,0,0,0,0,06,097,2020-03-16 13:00 EDT
Ventura,California,4,0,0,0,0,06,111,2020-03-16 13:00 EDT
San Benito,California,3,0,0,0,0,06,069,2020-03-16 13:00 EDT
Yolo,California,2,0,0,0,0,06,113,2020-03-16 13:00 EDT
Fresno,California,2,1,0,0,0,06,019,2020-03-16 13:00 EDT
Calaveras,California,2,0,0,0,0,06,009,2020-03-16 13:00 EDT
Stanislaus,California,2,0,0,0,0,06,099,2020-03-16 13:00 EDT
Tulare,California,2,0,0,0,0,06,107,2020-03-16 13:00 EDT
Imperial,California,2,0,0,0,0,06,025,2020-03-16 13:00 EDT
San Luis Obispo,California,2,0,0,0,0,06,079,2020-03-16 13:00 EDT
Humboldt,California,1,0,0,0,0,06,023,2020-03-16 13:00 EDT
Madera,California,1,0,0,0,0,06,039,2020-03-16 13:00 EDT
Shasta,California,1,0,0,0,0,06,089,2020-03-16 13:00 EDT
San Bernardino,California,1,0,0,0,0,06,071,2020-03-16 13:00 EDT
Santa Barbara,California,1,0,0,0,0,06,083,2020-03-16 13:00 EDT
Middlesex,Massachusetts,75,0,0,0,0,25,017,2020-03-16 13:00 EDT
Suffolk,Massachusetts,31,0,0,0,0,25,025,2020-03-16 13:00 EDT
Norfolk,Massachusetts,31,0,0,0,0,25,021,2020-03-16 13:00 EDT
