County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP
New York,New York,2469,598,11,0.40%,40.71455,-74.00714,2020-03-19 20:03 EDT,36,61
Westchester,New York,798,260,0,0%,41.16319759,-73.7560629,2020-03-19 20:03 EDT,36,119
Nassau,New York,372,94,1,0.30%,40.74165225,-73.58899619,2020-03-19 20:03 EDT,36,59
Suffolk,New York,178,26,3,1.70%,40.87732808,-72.85898036,2020-03-19 20:03 EDT,36,103
Rockland,New York,53,22,1,1.90%,41.152374,-74.02401032,2020-03-19 20:03 EDT,36,87
Orange,New York,51,19,0,0%,41.40206825,-74.30559567,2020-03-19 20:03 EDT,36,71
Albany,New York,43,7,0,0%,42.65155,-73.75521,2020-03-19 20:03 EDT,36,1
Dutchess,New York,31,11,0,0%,41.76477515,-73.74281684,2020-03-19 20:03 EDT,36,27
Monroe,New York,30,8,1,3.30%,43.14604282,-77.69674911,2020-03-19 20:03 EDT,36,55
Erie,New York,28,1,0,0%,42.76382119,-78.73224973,2020-03-19 20:03 EDT,36,29
Saratoga,New York,14,0,0,0%,43.06974,-73.63661,2020-03-19 20:03 EDT,36,91
Schenectady,New York,14,0,0,0%,42.81238,-73.94122,2020-03-19 20:03 EDT,36,93
Ulster,New York,9,0,0,0%,41.95986,-73.99033,2020-03-19 20:03 EDT,36,111
Onondaga,New York,9,3,0,0%,43.00487,-76.1836,2020-03-19 20:03 EDT,36,67
Tompkins,New York,6,0,0,0%,42.44933495,-76.47064359,2020-03-19 20:03 EDT,36,109
Putnam,New York,5,3,0,0%,41.42653455,-73.7494999,2020-03-19 20:03 EDT,36,79
Rensselaer,New York,4,0,0,0%,42.71086263,-73.5097379,2020-03-19 20:03 EDT,36,83
Niagara,New York,4,3,0,0%,43.19998147,-78.74522262,2020-03-19 20:03 EDT,36,63
Greene,New York,2,0,0,0%,42.27654571,-74.12261588,2020-03-19 20:03 EDT,36,39
Montgomery,New York,2,0,0,0%,42.9022918,-74.43960085,2020-03-19 20:03 EDT,36,57
Allegany,New York,2,0,0,0%,42.25739788,-78.02755444,2020-03-19 20:03 EDT,36,3
Oneida,New York,2,0,0,0%,43.24306498,-75.42583597,2020-03-19 20:03 EDT,36,65
Wyoming,New York,2,1,0,0%,42.70242659,-78.22443261,2020-03-19 20:03 EDT,36,121
Delaware,New York,1,0,0,0%,42.19804334,-74.96635196,2020-03-19 20:03 EDT,36,25
Herkimer,New York,1,0,0,0%,43.0259,-74.98433,2020-03-19 20:03 EDT,36,43
Broome,New York,1,0,0,0%,42.16021802,-75.81964586,2020-03-19 20:03 EDT,36,7
Tioga,New York,1,0,0,0%,42.06057,-76.34519,2020-03-19 20:03 EDT,36,107
Ontario,New York,1,0,0,0%,42.85288942,-77.29981098,2020-03-19 20:03 EDT,36,69
Clinton,New York,1,0,0,0%,44.7904,-73.6006,2020-03-19 20:03 EDT,36,19
Essex,New York,1,0,0,0%,44.10755697,-73.79125847,2020-03-19 20:03 EDT,36,31
Sullivan,New York,1,0,0,0%,41.71631354,-74.76811083,2020-03-19 20:03 EDT,36,105
Genesee,New York,1,0,0,0%,43.00094016,-78.1936949,2020-03-19 20:03 EDT,36,37
Warren,New York,1,0,0,0%,43.5592099,-73.85881158,2020-03-19 20:03 EDT,36,113
Washington,New York,1,0,0,0%,43.31227113,-73.43096234,2020-03-19 20:03 EDT,36,115
Hamilton,New York,1,0,0,0%,43.66130373,-74.49733573,2020-03-19 20:03 EDT,36,41
