County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,57159,5350,1584,2.80%,40.71455,-74.00714,2020-04-03 16:57 EDT,36,500,8443.713,6.769415303
Westchester,New York,12351,784,67,0.50%,41.16319759,-73.7560629,2020-04-03 16:57 EDT,36,119,968.815,12.74856397
Nassau,New York,12024,1437,95,0.80%,40.74165225,-73.58899619,2020-04-03 16:57 EDT,36,59,1356.564,8.86357002
Suffolk,New York,10154,1408,84,0.80%,40.87732808,-72.85898036,2020-04-03 16:57 EDT,36,103,1487.901,6.824378773
Rockland,New York,4289,538,42,1.00%,41.152374,-74.02401032,2020-04-03 16:57 EDT,36,87,323.686,13.25049585
Orange,New York,2397,349,30,1.30%,41.40206825,-74.30559567,2020-04-03 16:57 EDT,36,71,378.227,6.33746401
Dutchess,New York,809,142,5,0.60%,41.76477515,-73.74281684,2020-04-03 16:57 EDT,36,27,293.894,2.752693148
Erie,New York,734,0,19,2.60%,42.76382119,-78.73224973,2020-04-03 16:57 EDT,36,29,919.866,0.797942309
Monroe,New York,464,44,10,2.20%,43.14604282,-77.69674911,2020-04-03 16:57 EDT,36,55,744.248,0.623448098
Onondaga,New York,322,21,3,0.90%,43.00487,-76.1836,2020-04-03 16:57 EDT,36,67,464.242,0.693603767
Albany,New York,267,14,2,0.70%,42.65155,-73.75521,2020-04-03 16:57 EDT,36,1,307.426,0.868501688
Ulster,New York,263,20,3,1.10%,41.95986,-73.99033,2020-04-03 16:57 EDT,36,111,179.303,1.466790851
Putnam,New York,252,36,7,2.80%,41.42653455,-73.7494999,2020-04-03 16:57 EDT,36,79,99.07,2.543656001
Sullivan,New York,168,12,5,3.00%,41.71631354,-74.76811083,2020-04-03 16:57 EDT,36,105,75.211,2.233715813
Saratoga,New York,141,9,1,0.70%,43.06974,-73.63661,2020-04-03 16:57 EDT,36,91,227.377,0.620115491
Schenectady,New York,110,9,5,4.50%,42.81238,-73.94122,2020-04-03 16:57 EDT,36,93,154.883,0.710213516
Niagara,New York,94,3,0,0.00%,43.19998147,-78.74522262,2020-04-03 16:57 EDT,36,63,211.704,0.444016174
Tompkins,New York,87,0,0,0.00%,42.44933495,-76.47064359,2020-04-03 16:57 EDT,36,109,102.962,0.844971931
Madison,New York,77,0,2,2.60%,42.91290749,-75.66978904,2020-04-03 16:57 EDT,36,53,71.359,1.079050996
Oneida,New York,71,10,1,1.40%,43.24306498,-75.42583597,2020-04-03 16:57 EDT,36,65,230.782,0.307649643
Rensselaer,New York,67,0,0,0.00%,42.71086263,-73.5097379,2020-04-03 16:57 EDT,36,83,159.431,0.420244494
Broome,New York,56,10,4,7.10%,42.16021802,-75.81964586,2020-04-03 16:57 EDT,36,7,194.402,0.28806288
Columbia,New York,51,0,2,3.90%,42.25001078,-73.63186134,2020-04-03 16:57 EDT,36,21,60.919,0.837177235
Steuben,New York,46,3,0,0.00%,42.26782685,-77.38382596,2020-04-03 16:57 EDT,36,101,96.927,0.474583965
St. Lawrence,New York,43,1,0,0.00%,44.17727,-76.16772,2020-04-03 16:57 EDT,36,89,109.558,0.392486172
Chemung,New York,35,13,0,0.00%,42.1411881,-76.7600106,2020-04-03 16:57 EDT,36,15,85.74,0.40821087
Chenango,New York,32,4,0,0.00%,42.49349443,-75.6115371,2020-04-03 16:57 EDT,36,17,48.348,0.661868123
Clinton,New York,30,4,0,0.00%,44.7904,-73.6006,2020-04-03 16:57 EDT,36,19,80.794,0.371314702
Wayne,New York,30,3,0,0.00%,42.474131,-77.09816,2020-04-03 16:57 EDT,36,117,90.856,0.330192833
Oswego,New York,28,0,0,0.00%,43.4365257,-76.14924403,2020-04-03 16:57 EDT,36,75,119.104,0.235088662
Ontario,New York,28,2,0,0.00%,42.85288942,-77.29981098,2020-04-03 16:57 EDT,36,69,109.472,0.255773166
Delaware,New York,24,1,1,4.20%,42.19804334,-74.96635196,2020-04-03 16:57 EDT,36,25,45.502,0.527449343
Greene,New York,23,2,0,0.00%,42.27654571,-74.12261588,2020-04-03 16:57 EDT,36,39,47.617,0.48302077
Otsego,New York,21,0,1,4.80%,42.63373751,-75.03256231,2020-04-03 16:57 EDT,36,77,60.244,0.348582431
Warren,New York,19,1,0,0.00%,43.5592099,-73.85881158,2020-04-03 16:57 EDT,36,113,64.48,0.294665012
Livingston,New York,18,0,1,5.60%,42.72808354,-77.77543855,2020-04-03 16:57 EDT,36,51,63.907,0.281659286
Jefferson,New York,18,3,0,0.00%,44.04103424,-75.91225529,2020-04-03 16:57 EDT,36,45,114.448,0.157276667
Genesee,New York,17,0,1,5.90%,43.00094016,-78.1936949,2020-04-03 16:57 EDT,36,37,58.112,0.292538546
Wyoming,New York,15,0,1,6.70%,42.70242659,-78.22443261,2020-04-03 16:57 EDT,36,121,40.565,0.369776901
Washington,New York,15,2,0,0.00%,43.31227113,-73.43096234,2020-04-03 16:57 EDT,36,115,61.828,0.242608527
Herkimer,New York,14,0,2,14.30%,43.0259,-74.98433,2020-04-03 16:57 EDT,36,43,62.505,0.223982081
Allegany,New York,14,1,1,7.10%,42.25739788,-78.02755444,2020-04-03 16:57 EDT,36,3,47.025,0.297713982
Cortland,New York,14,0,0,0.00%,42.59500111,-76.07023743,2020-04-03 16:57 EDT,36,23,48.123,0.290921181
Franklin,New York,10,1,0,0.00%,44.59267538,-74.30342185,2020-04-03 16:57 EDT,36,33,50.692,0.197269786
Montgomery,New York,10,1,0,0.00%,42.9022918,-74.43960085,2020-04-03 16:57 EDT,36,57,49.426,0.202322664
Chautauqua,New York,9,1,1,11.10%,42.22826274,-79.36643298,2020-04-03 16:57 EDT,36,13,129.656,0.069414451
Cattaraugus,New York,9,1,0,0.00%,42.24859584,-78.67881202,2020-04-03 16:57 EDT,36,9,77.686,0.11585099
Schoharie,New York,9,0,0,0.00%,42.58820746,-74.44213588,2020-04-03 16:57 EDT,36,95,31.364,0.286953195
Tioga,New York,8,0,0,0.00%,42.06057,-76.34519,2020-04-03 16:57 EDT,36,107,49.045,0.163115506
Essex,New York,7,0,0,0.00%,44.10755697,-73.79125847,2020-04-03 16:57 EDT,36,31,37.751,0.185425552
Cayuga,New York,6,0,0,0.00%,42.92145204,-76.54917489,2020-04-03 16:57 EDT,36,11,77.868,0.077053475
Fulton,New York,6,0,0,0.00%,43.11240266,-74.43516277,2020-04-03 16:57 EDT,36,35,53.743,0.111642446
Orleans,New York,6,0,0,0.00%,43.25210059,-78.23124678,2020-04-03 16:57 EDT,36,73,41.175,0.14571949
Seneca,New York,6,2,0,0.00%,42.79006836,-76.82292272,2020-04-03 16:57 EDT,36,99,34.612,0.173350283
Schuyler,New York,3,0,0,0.00%,42.37063897,-76.9851275,2020-04-03 16:57 EDT,36,97,17.992,0.166740774
Hamilton,New York,2,0,0,0.00%,43.66130373,-74.49733573,2020-04-03 16:57 EDT,36,41,4.575,0.43715847
Lewis,New York,2,0,0,0.00%,43.78473387,-75.44870612,2020-04-03 16:57 EDT,36,49,26.719,0.074853101
Yates,New York,1,0,0,0.00%,42.63334577,-77.11807678,2020-04-03 16:57 EDT,36,123,25.009,0.039985605
Bergen,New Jersey,4866,767,132,2.70%,40.95949149,-74.074442,2020-04-03 16:57 EDT,34,3,929.999,5.232263691
Essex,New Jersey,3067,450,118,3.80%,40.78779259,-74.24760059,2020-04-03 16:57 EDT,34,13,793.555,3.864886492
Hudson,New Jersey,2835,565,59,2.10%,40.74034231,-74.0741097,2020-04-03 16:57 EDT,34,17,668.631,4.24000682
Union,New Jersey,2487,477,45,1.80%,40.69635,-74.26957,2020-04-03 16:57 EDT,34,39,553.066,4.49675084
Passaic,New Jersey,2216,466,34,1.50%,40.86034,-74.12374,2020-04-03 16:57 EDT,34,31,504.041,4.396467748
Middlesex,New Jersey,2125,359,56,2.60%,40.57936,-74.50067,2020-04-03 16:57 EDT,34,23,826.698,2.570467087
Monmouth,New Jersey,1743,285,48,2.80%,40.2600411,-74.22194634,2020-04-03 16:57 EDT,34,25,623.387,2.796015958
Ocean,New Jersey,1685,314,45,2.70%,39.90927434,-74.2969653,2020-04-03 16:57 EDT,34,29,591.939,2.846577097
Morris,New Jersey,1298,216,43,3.30%,40.86201902,-74.5442741,2020-04-03 16:57 EDT,34,27,494.383,2.625494809
Somerset,New Jersey,641,92,23,3.60%,40.49859,-74.52249,2020-04-03 16:57 EDT,34,35,330.176,1.941388835
Mercer,New Jersey,484,98,5,1.00%,40.28331911,-74.70157374,2020-04-03 16:57 EDT,34,21,368.762,1.312499661
Camden,New Jersey,406,63,7,1.70%,39.94525,-75.11913,2020-04-03 16:57 EDT,34,7,507.367,0.80020971
Burlington,New Jersey,367,73,9,2.50%,40.07687,-74.85775,2020-04-03 16:57 EDT,34,5,446.367,0.822193397
Sussex,New Jersey,210,31,8,3.80%,41.13934496,-74.69067762,2020-04-03 16:57 EDT,34,37,142.298,1.475776188
Gloucester,New Jersey,183,14,3,1.60%,39.71720107,-75.14164366,2020-04-03 16:57 EDT,34,15,290.852,0.629185978
Warren,New Jersey,149,33,3,2.00%,40.85732358,-74.997063,2020-04-03 16:57 EDT,34,41,106.293,1.40178563
Hunterdon,New Jersey,148,0,0,0.00%,40.56725317,-74.91217921,2020-04-03 16:57 EDT,34,19,125.051,1.183517125
Atlantic,New Jersey,72,2,1,1.40%,39.4806564,-74.67264306,2020-04-03 16:57 EDT,34,1,268.539,0.26811748
Cape May,New Jersey,44,0,0,0.00%,38.93547,-74.92137,2020-04-03 16:57 EDT,34,9,93.705,0.469558722
Cumberland,New Jersey,36,0,1,2.80%,39.37311491,-75.11061925,2020-04-03 16:57 EDT,34,11,153.4,0.234680574
Salem,New Jersey,25,0,2,8.00%,39.57661332,-75.35810746,2020-04-03 16:57 EDT,34,33,63.336,0.394720222
Wayne,Michigan,2546,335,106,4.20%,42.28515,-83.3836,2020-04-03 16:57 EDT,26,163,1761.382,1.445455898
