county_name,state_name,cases,new_cases,deaths,fatality_rate,latitude,longitude,last_update,fips_code,county_mapping
Warren,New Jersey,9,0,0,0.00%,40.85732358,-74.997063,2020-03-23T05:42:00.000Z,34041,USA234041
Sangamon,Illinois,4,0,1,25.00%,39.75815792,-89.6588874,2020-03-23T05:42:00.000Z,17167,USA217167
Broward,Florida,217,0,3,1.40%,26.15224542,-80.4870534,2020-03-23T05:42:00.000Z,12011,USA212011
Lee,Florida,26,0,2,7.70%,26.57965162,-81.82468531,2020-03-23T05:42:00.000Z,12071,USA212071
Berkshire,Massachusetts,23,0,0,0.00%,42.51105,-73.19426,2020-03-23T05:42:00.000Z,25003,USA225003
Owen,Indiana,1,0,0,0.00%,39.31272984,-86.8376409,2020-03-23T05:42:00.000Z,18119,USA218119
Monroe,Indiana,1,0,0,0.00%,39.1608893,-86.52313759,2020-03-23T05:42:00.000Z,18105,USA218105
Washington,Alabama,1,0,0,0.00%,31.40759373,-88.20787245,2020-03-23T05:42:00.000Z,1129,USA201129
Grady,Oklahoma,1,0,0,0.00%,35.01711842,-97.88402353,2020-03-23T05:42:00.000Z,40051,USA240051
Gallatin,Montana,10,0,0,0.00%,45.54045182,-111.1704109,2020-03-23T05:42:00.000Z,30031,USA230031
San Francisco,California,108,0,0,0.00%,37.77712,-122.41964,2020-03-23T15:57:00.000Z,6075,USA206075
Santa Barbara,California,18,0,0,0.00%,34.41938,-119.69905,2020-03-23T15:57:00.000Z,6083,USA206083
Hillsborough,Florida,73,15,0,0.00%,27.93023096,-82.30785534,2020-03-23T15:57:00.000Z,12057,USA212057
Macomb,Michigan,140,0,1,0.70%,42.69565,-82.92171,2020-03-23T15:57:00.000Z,26099,USA226099
Tangipahoa,Louisiana,3,0,0,0.00%,30.64545741,-90.41177337,2020-03-23T15:57:00.000Z,22105,USA222105
Bowie,Texas,1,0,0,0.00%,33.559,-97.8486,2020-03-23T15:57:00.000Z,48037,USA248037
Randolph,Georgia,1,0,0,0.00%,31.76259707,-84.75413416,2020-03-23T15:57:00.000Z,13243,USA213243
Sampson,North Carolina,1,0,0,0.00%,34.99160724,-78.37157696,2020-03-23T15:57:00.000Z,37163,USA237163
Bradley,Arkansas,4,0,0,0.00%,33.46640703,-92.1623419,2020-03-23T15:57:00.000Z,5011,USA205011
Flathead,Montana,2,0,0,0.00%,48.29795411,-114.0491365,2020-03-23T15:57:00.000Z,30029,USA230029
Desoto,Florida,1,0,0,0.00%,27.18625815,-81.80950056,2020-03-23T04:02:00.000Z,,
Polk,Georgia,4,0,0,0.00%,34.00168812,-85.18810974,2020-03-23T04:02:00.000Z,13233,USA213233
Mercer,Pennsylvania,1,0,0,0.00%,41.30219945,-80.25773341,2020-03-23T04:02:00.000Z,42085,USA242085
Wells,Indiana,1,0,0,0.00%,40.72919489,-85.22121595,2020-03-23T04:02:00.000Z,18179,USA218179
Volusia,Florida,14,0,0,0.00%,29.16934,-81.52251,2020-03-23T05:42:00.000Z,12127,USA212127
Riverside,California,43,0,6,14.00%,33.98171,-117.37404,2020-03-23T05:01:00.000Z,6065,USA206065
Madison,Illinois,2,0,0,0.00%,38.83006224,-89.9017802,2020-03-23T05:01:00.000Z,17119,USA217119
Terrebonne,Louisiana,11,0,0,0.00%,29.43006669,-90.87546183,2020-03-23T05:01:00.000Z,22109,USA222109
Ellis,Texas,5,0,0,0.00%,32.34839289,-96.79460418,2020-03-23T05:01:00.000Z,48139,USA248139
Deaf Smith,Texas,1,0,0,0.00%,34.96599069,-102.6047754,2020-03-23T05:01:00.000Z,48117,USA248117
Coffee,Georgia,1,0,0,0.00%,31.54905082,-82.84922205,2020-03-23T05:01:00.000Z,13069,USA213069
Humphreys,Mississippi,1,0,0,0.00%,33.12872874,-90.5265076,2020-03-23T05:01:00.000Z,28053,USA228053
Harrison,Kentucky,7,0,0,0.00%,38.44174035,-84.33140447,2020-03-23T05:01:00.000Z,21097,USA221097
Oxford,Maine,4,0,0,0.00%,44.50009572,-70.75666912,2020-03-23T05:01:00.000Z,23017,USA223017
Pasquotank,North Carolina,1,0,0,0.00%,36.28883221,-76.2723684,2020-03-23T02:55:00.000Z,37139,USA237139
Lafourche,Louisiana,11,0,0,0.00%,29.76529,-90.76881,2020-03-22T15:01:00.000Z,22057,USA222057
Benton,Minnesota,1,0,0,0.00%,45.7211,-93.9733,2020-03-22T15:01:00.000Z,27009,USA227009
Madison,Alabama,9,0,0,0.00%,34.76311801,-86.55018951,2020-03-22T15:01:00.000Z,1089,USA201089
Oxford,Maine,4,0,0,0.00%,44.50009572,-70.75666912,2020-03-22T15:01:00.000Z,23017,USA223017
Gibson,Tennessee,1,0,0,0.00%,35.99651573,-88.93263833,2020-03-22T15:01:00.000Z,47053,USA247053
San Joaquin,California,31,0,2,6.50%,37.93479557,-121.2713112,2020-03-22T04:28:00.000Z,6077,USA206077
DuPage,Illinois,65,0,0,0.00%,41.85194049,-88.08561127,2020-03-22T04:28:00.000Z,17043,USA217043
Mesa,Colorado,1,0,0,0.00%,39.16616,-108.13889,2020-03-22T04:28:00.000Z,8077,USA208077
New Hanover,North Carolina,4,0,0,0.00%,34.23292157,-77.88477524,2020-03-22T04:28:00.000Z,37129,USA237129
Windham,Connecticut,1,0,0,0.00%,41.82994751,-71.98750959,2020-03-22T04:28:00.000Z,9015,USA209015
Abbeville,South Carolina,1,0,0,0.00%,34.22258416,-82.45866128,2020-03-22T04:28:00.000Z,45001,USA245001
Clarendon,South Carolina,1,0,1,100.00%,33.68714735,-80.20177338,2020-03-22T04:28:00.000Z,45027,USA245027
Florence,South Carolina,1,0,1,100.00%,34.02438837,-79.70272945,2020-03-22T04:28:00.000Z,45041,USA245041
Stafford,Virginia,2,0,0,0.00%,38.42346,-77.40816,2020-03-22T04:28:00.000Z,51179,USA251179
Monmouth,New Jersey,53,0,1,1.90%,40.2600411,-74.22194634,2020-03-21T18:00:00.000Z,34025,USA234025
Cumberland,Illinois,1,0,0,0%,39.27332831,-88.24016822,2020-03-21T18:00:00.000Z,17035,USA217035
Jackson,Michigan,1,0,0,0%,42.24848235,-84.42344983,2020-03-21T18:00:00.000Z,26075,USA226075
Matagorda,Texas,3,0,1,33.30%,28.69123,-95.96755,2020-03-21T18:00:00.000Z,48321,USA248321
Crane,Texas,1,0,0,0%,31.42846649,-102.5155684,2020-03-21T18:00:00.000Z,48103,USA248103
Beaver,Pennsylvania,3,0,0,0%,40.6964,-80.30196,2020-03-21T18:00:00.000Z,42007,USA242007
Mecklenburg,Virginia,1,0,0,0%,36.68677701,-78.3594444,2020-03-21T18:00:00.000Z,51117,USA251117
Adams,Mississippi,2,1,0,0%,31.48370766,-91.34731394,2020-03-21T18:00:00.000Z,28001,USA228001
Scott,Indiana,1,0,0,0%,38.68501474,-85.74748138,2020-03-21T18:00:00.000Z,18143,USA218143
Montgomery,Maryland,51,18,0,0%,39.13636819,-77.20403165,2020-03-20T17:58:00.000Z,24031,USA224031
Ashland,Ohio,1,0,0,0%,40.84598539,-82.2706822,2020-03-20T17:58:00.000Z,39005,USA239005
Wilkinson,Mississippi,1,0,0,0%,31.16041084,-91.30894605,2020-03-20T17:58:00.000Z,28157,USA228157
Cache,Utah,2,0,0,0%,41.72244399,-111.7435477,2020-03-20T17:58:00.000Z,49005,USA249005
Payne,Oklahoma,1,0,0,0%,36.07732714,-96.9757817,2020-03-20T17:58:00.000Z,40119,USA240119
Westchester,New York,1091,293,0,0%,41.16319759,-73.7560629,2020-03-20T18:48:00.000Z,36119,USA236119
Denver,Colorado,43,0,0,0%,39.74001,-104.99202,2020-03-20T18:48:00.000Z,8031,USA208031
Berks,Pennsylvania,1,0,0,0%,40.41633729,-75.92604542,2020-03-20T18:48:00.000Z,42011,USA242011
Montgomery,Ohio,1,0,0,0%,39.75468776,-84.29097551,2020-03-20T18:48:00.000Z,39113,USA239113
Harrisonburg,Virginia,1,0,0,0%,38.45163,-78.8697,2020-03-20T18:48:00.000Z,51660,USA251660
Pawnee,Oklahoma,1,0,0,0%,36.31690779,-96.69931207,2020-03-20T18:48:00.000Z,40117,USA240117
Unassigned,Louisiana,6,2,1,16.70%,31.169546,-91.867805,2020-03-20T18:48:00.000Z,,
Chenango,New York,1,0,0,0%,42.49349443,-75.6115371,2020-03-20T16:59:00.000Z,36017,USA236017
Burlington,New Jersey,14,0,0,0%,40.07687,-74.85775,2020-03-20T16:59:00.000Z,34005,USA234005
Talbot,Maryland,1,0,0,0%,38.75926446,-76.11366953,2020-03-20T16:59:00.000Z,24041,USA224041
Calhoun,Alabama,1,0,0,0%,33.77138006,-85.82610844,2020-03-20T16:59:00.000Z,1015,USA201015
Rensselaer,New York,4,0,0,0%,42.71086263,-73.5097379,2020-03-20T15:53:00.000Z,36083,USA236083
Gloucester,New Jersey,1,0,0,0%,39.71720107,-75.14164366,2020-03-20T15:53:00.000Z,34015,USA234015
Eau Claire,Wisconsin,1,0,0,0%,44.81658,-91.50077,2020-03-20T15:53:00.000Z,55035,USA255035
Fairfield,Connecticut,102,0,3,2.90%,41.16633,-73.22876,2020-03-20T15:53:00.000Z,9001,USA209001
Dakota,Minnesota,8,0,0,0%,44.67098069,-93.06667775,2020-03-20T15:53:00.000Z,27037,USA227037
Jackson,Mississippi,3,1,0,0%,30.54327789,-88.6359578,2020-03-20T15:53:00.000Z,28059,USA228059
Harrison,Kentucky,6,0,0,0%,38.44174035,-84.33140447,2020-03-20T15:53:00.000Z,21097,USA221097
McClain,Oklahoma,1,0,0,0%,35.0093484,-97.44417349,2020-03-20T15:53:00.000Z,40087,USA240087
Suffolk,New York,239,0,3,1.30%,40.87732808,-72.85898036,2020-03-20T12:58:00.000Z,36103,USA236103
Manatee,Florida,9,0,1,11.10%,27.49643,-82.53954,2020-03-20T12:58:00.000Z,12081,USA212081
