County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update
New York,New York,269,0,2+1,0.70%,40.71455,-74.00714,2020-03-15 16:23 EDT
Westchester,New York,178,0,0,0%,40.84743,-73.85576,2020-03-15 16:23 EDT
Nassau,New York,79,0,0,0%,42.51642,-73.61126,2020-03-15 16:23 EDT
Suffolk,New York,41,0,0,0%,40.87732808,-72.85898036,2020-03-15 16:23 EDT
Rockland,New York,12,0,1,8.30%,41.152374,-74.02401032,2020-03-15 16:23 EDT
Albany,New York,11,4,0,0%,42.65155,-73.75521,2020-03-15 16:23 EDT
Orange,New York,6,0,0,0%,42.30562,-77.04871,2020-03-15 16:23 EDT
Ulster,New York,5,0,0,0%,41.95986,-73.99033,2020-03-15 16:23 EDT
Dutchess,New York,4,0,0,0%,41.76477515,-73.74281684,2020-03-15 16:23 EDT
Saratoga,New York,3,0,0,0%,43.06974,-73.63661,2020-03-15 16:23 EDT
Erie,New York,3,0,0,0%,42.76382119,-78.73224973,2020-03-15 16:23 EDT
Monroe,New York,2,0,0,0%,41.32812,-74.18713,2020-03-15 16:23 EDT
Delaware,New York,1,0,0,0%,41.75091,-74.95199,2020-03-15 16:23 EDT
Herkimer,New York,1,0,0,0%,43.0259,-74.98433,2020-03-15 16:23 EDT
Schenectady,New York,1,0,0,0%,42.81238,-73.94122,2020-03-15 16:23 EDT
Broome,New York,1,0,0,0%,42.48801,-74.28177,2020-03-15 16:23 EDT
Tompkins,New York,1,0,0,0%,42.08529,-75.31598,2020-03-15 16:23 EDT
Tioga,New York,1,0,0,0%,42.06057,-76.34519,2020-03-15 16:23 EDT
King,Washington,387,0,35,9%,47.49011813,-121.8043324,2020-03-15 16:23 EDT
Snohomish,Washington,154,0,4,2.60%,47.9124,-122.09306,2020-03-15 16:23 EDT
Pierce,Washington,26,0,0,0%,46.63434,-119.44992,2020-03-15 16:23 EDT
Island,Washington,6,0,0,0%,48.19160936,-122.6650075,2020-03-15 16:23 EDT
Skagit,Washington,4,0,0,0%,48.47933023,-121.7280802,2020-03-15 16:23 EDT
Yakima,Washington,4,0,0,0%,46.60448,-120.50721,2020-03-15 16:23 EDT
Clark,Washington,3,0,0,0%,46.29828,-119.13716,2020-03-15 16:23 EDT
Kittitas,Washington,3,0,0,0%,46.98472,-120.41752,2020-03-15 16:23 EDT
Kitsap,Washington,3,0,0,0%,47.47496219,-122.6085325,2020-03-15 16:23 EDT
Thurston,Washington,3,0,0,0%,46.91980578,-122.8298691,2020-03-15 16:23 EDT
Spokane,Washington,3,0,0,0%,47.6203752,-117.4033714,2020-03-15 16:23 EDT
Grant,Washington,2,0,1,50%,45.08319,-92.90845,2020-03-15 16:23 EDT
Whatcom,Washington,2,0,0,0%,48.82559702,-121.7174182,2020-03-15 16:23 EDT
Jefferson,Washington,1,0,0,0%,47.8057075,-123.5270572,2020-03-15 16:23 EDT
Grays Harbor,Washington,1,0,0,0%,47.15055235,-123.7737432,2020-03-15 16:23 EDT
Columbia,Washington,1,0,0,0%,9.96261,-74.17612,2020-03-15 16:23 EDT
Santa Clara,California,114,23,2,1.80%,37.35579,-121.95509,2020-03-15 16:23 EDT
Los Angeles,California,69,16,1,1.40%,34.05349,-118.24532,2020-03-15 16:23 EDT
San Francisco,California,37,9,0,0%,37.77712,-122.41964,2020-03-15 16:23 EDT
San Mateo,California,32,0,1+1,3.10%,37.54704,-122.31485,2020-03-15 16:23 EDT
Sacramento,California,29,0,1,3.40%,38.57944,-121.49085,2020-03-15 16:23 EDT
Contra Costa,California,29,0,0,0%,37.91793732,-121.9259354,2020-03-15 16:23 EDT
San Diego,California,16,0,0,0%,32.71568,-117.16171,2020-03-15 16:23 EDT
Orange,California,14,0,0,0%,33.78787,-117.85071,2020-03-15 16:23 EDT
Riverside,California,14,0,0,0%,33.98171,-117.37404,2020-03-15 16:23 EDT
Alameda,California,11,0,0,0%,37.76683,-122.2453,2020-03-15 16:23 EDT
San Joaquin,California,8,0,0,0%,37.9349815,-121.272244,2020-03-15 16:23 EDT
Santa Cruz,California,7,0,0,0%,36.97424,-122.03098,2020-03-15 16:23 EDT
