County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,17856,2259,280,1.10%,40.71455,-74.00714,2020-03-25 19:54 EDT,36,500,8443.713,2.114709489
Westchester,New York,4691,800,1,0.00%,41.16319759,-73.7560629,2020-03-25 19:54 EDT,36,119,968.815,4.841997698
Nassau,New York,3285,416,17,0.50%,40.74165225,-73.58899619,2020-03-25 19:54 EDT,36,59,1356.564,2.421559175
Suffolk,New York,2260,380,20,0.90%,40.87732808,-72.85898036,2020-03-25 19:54 EDT,36,103,1487.901,1.518918261
Rockland,New York,968,297,5,0.50%,41.152374,-74.02401032,2020-03-25 19:54 EDT,36,87,323.686,2.990552573
Orange,New York,638,140,1,0.20%,41.40206825,-74.30559567,2020-03-25 19:54 EDT,36,71,378.227,1.686817705
Dutchess,New York,153,29,1,0.70%,41.76477515,-73.74281684,2020-03-25 19:54 EDT,36,27,293.894,0.520595861
Albany,New York,152,6,0,0.00%,42.65155,-73.75521,2020-03-25 19:54 EDT,36,1,307.426,0.494427927
Erie,New York,122,1,1,0.80%,42.76382119,-78.73224973,2020-03-25 19:54 EDT,36,29,919.866,0.132628013
Monroe,New York,118,12,3,2.50%,43.14604282,-77.69674911,2020-03-25 19:54 EDT,36,55,744.248,0.158549301
Putnam,New York,84,2,0,0.00%,41.42653455,-73.7494999,2020-03-25 19:54 EDT,36,79,99.07,0.847885334
Onondaga,New York,81,21,1,1.20%,43.00487,-76.1836,2020-03-25 19:54 EDT,36,67,464.242,0.174477966
Ulster,New York,65,30,0,0.00%,41.95986,-73.99033,2020-03-25 19:54 EDT,36,111,179.303,0.362514849
Saratoga,New York,64,11,0,0.00%,43.06974,-73.63661,2020-03-25 19:54 EDT,36,91,227.377,0.281470861
Schenectady,New York,55,11,1,1.80%,42.81238,-73.94122,2020-03-25 19:54 EDT,36,93,154.883,0.355106758
Sullivan,New York,39,16,0,0.00%,41.71631354,-74.76811083,2020-03-25 19:54 EDT,36,105,75.211,0.518541171
Rensselaer,New York,33,0,0,0.00%,42.71086263,-73.5097379,2020-03-25 19:54 EDT,36,83,159.431,0.206986094
Columbia,New York,19,1,0,0.00%,42.25001078,-73.63186134,2020-03-25 19:54 EDT,36,21,60.919,0.311889558
Tompkins,New York,18,0,0,0.00%,42.44933495,-76.47064359,2020-03-25 19:54 EDT,36,109,102.962,0.174821779
Niagara,New York,12,2,0,0.00%,43.19998147,-78.74522262,2020-03-25 19:54 EDT,36,63,211.704,0.056682916
Broome,New York,11,2,2,18.20%,42.16021802,-75.81964586,2020-03-25 19:54 EDT,36,7,194.402,0.05658378
Oneida,New York,10,0,0,0.00%,43.24306498,-75.42583597,2020-03-25 19:54 EDT,36,65,230.782,0.043330936
Clinton,New York,10,4,0,0.00%,44.7904,-73.6006,2020-03-25 19:54 EDT,36,19,80.794,0.123771567
Ontario,New York,9,3,0,0.00%,42.85288942,-77.29981098,2020-03-25 19:54 EDT,36,69,109.472,0.082212803
Steuben,New York,8,0,0,0.00%,42.26782685,-77.38382596,2020-03-25 19:54 EDT,36,101,96.927,0.082536342
Wayne,New York,7,1,0,0.00%,42.474131,-77.09816,2020-03-25 19:54 EDT,36,117,90.856,0.077044994
Madison,New York,7,3,1,14.30%,42.91290749,-75.66978904,2020-03-25 19:54 EDT,36,53,71.359,0.098095545
Delaware,New York,5,2,0,0.00%,42.19804334,-74.96635196,2020-03-25 19:54 EDT,36,25,45.502,0.10988528
Herkimer,New York,5,1,0,0.00%,43.0259,-74.98433,2020-03-25 19:54 EDT,36,43,62.505,0.079993601
Greene,New York,4,0,0,0.00%,42.27654571,-74.12261588,2020-03-25 19:54 EDT,36,39,47.617,0.084003612
Montgomery,New York,4,1,0,0.00%,42.9022918,-74.43960085,2020-03-25 19:54 EDT,36,57,49.426,0.080929066
Essex,New York,4,0,0,0.00%,44.10755697,-73.79125847,2020-03-25 19:54 EDT,36,31,37.751,0.105957458
Wyoming,New York,4,0,1,25.00%,42.70242659,-78.22443261,2020-03-25 19:54 EDT,36,121,40.565,0.098607174
Washington,New York,4,1,0,0.00%,43.31227113,-73.43096234,2020-03-25 19:54 EDT,36,115,61.828,0.064695607
Chenango,New York,3,0,0,0.00%,42.49349443,-75.6115371,2020-03-25 19:54 EDT,36,17,48.348,0.062050137
Livingston,New York,3,0,0,0.00%,42.72808354,-77.77543855,2020-03-25 19:54 EDT,36,51,63.907,0.046943214
Cortland,New York,3,0,0,0.00%,42.59500111,-76.07023743,2020-03-25 19:54 EDT,36,23,48.123,0.062340253
Chemung,New York,3,0,0,0.00%,42.1411881,-76.7600106,2020-03-25 19:54 EDT,36,15,85.74,0.034989503
Allegany,New York,2,0,0,0.00%,42.25739788,-78.02755444,2020-03-25 19:54 EDT,36,3,47.025,0.042530569
Genesee,New York,2,1,0,0.00%,43.00094016,-78.1936949,2020-03-25 19:54 EDT,36,37,58.112,0.0344163
Warren,New York,2,0,0,0.00%,43.5592099,-73.85881158,2020-03-25 19:54 EDT,36,113,64.48,0.03101737
Hamilton,New York,2,0,0,0.00%,43.66130373,-74.49733573,2020-03-25 19:54 EDT,36,41,4.575,0.43715847
Schoharie,New York,2,1,0,0.00%,42.58820746,-74.44213588,2020-03-25 19:54 EDT,36,95,31.364,0.063767377
Jefferson,New York,2,0,0,0.00%,44.04103424,-75.91225529,2020-03-25 19:54 EDT,36,45,114.448,0.017475185
Oswego,New York,2,0,0,0.00%,43.4365257,-76.14924403,2020-03-25 19:54 EDT,36,75,119.104,0.016792047
Otsego,New York,2,1,0,0.00%,42.63373751,-75.03256231,2020-03-25 19:54 EDT,36,77,60.244,0.033198327
Cayuga,New York,2,0,0,0.00%,42.92145204,-76.54917489,2020-03-25 19:54 EDT,36,11,77.868,0.025684492
Chautauqua,New York,2,0,0,0.00%,42.22826274,-79.36643298,2020-03-25 19:54 EDT,36,13,129.656,0.015425433
Tioga,New York,1,0,0,0.00%,42.06057,-76.34519,2020-03-25 19:54 EDT,36,107,49.045,0.020389438
Fulton,New York,1,0,0,0.00%,43.11240266,-74.43516277,2020-03-25 19:54 EDT,36,35,53.743,0.018607074
St. Lawrence,New York,1,0,0,0.00%,44.17727,-76.16772,2020-03-25 19:54 EDT,36,89,109.558,0.009127585
Franklin,New York,1,0,0,0.00%,44.59267538,-74.30342185,2020-03-25 19:54 EDT,36,33,50.692,0.019726979
Bergen,New Jersey,819,118,14,0.70%,40.95949149,-74.074442,2020-03-25 19:54 EDT,34,3,929.999,0.880646108
Essex,New Jersey,381,39,7,1.00%,40.78779259,-74.24760059,2020-03-25 19:54 EDT,34,13,793.555,0.48011795
Middlesex,New Jersey,316,39,1,0.00%,40.57936,-74.50067,2020-03-25 19:54 EDT,34,23,826.698,0.382243576
Monmouth,New Jersey,313,25,3,1.00%,40.2600411,-74.22194634,2020-03-25 19:54 EDT,34,25,623.387,0.502095809
Union,New Jersey,262,16,1,0.00%,40.69635,-74.26957,2020-03-25 19:54 EDT,34,39,553.066,0.473722847
Hudson,New Jersey,260,26,3,0.40%,40.74034231,-74.0741097,2020-03-25 19:54 EDT,34,17,668.631,0.388854241
Passaic,New Jersey,255,39,2,0.00%,40.86034,-74.12374,2020-03-25 19:54 EDT,34,31,504.041,0.505911225
Morris,New Jersey,223,19,4,0.40%,40.86201902,-74.5442741,2020-03-25 19:54 EDT,34,27,494.383,0.45106729
Ocean,New Jersey,222,42,1,0.50%,39.90927434,-74.2969653,2020-03-25 19:54 EDT,34,29,591.939,0.375038644
Somerset,New Jersey,117,15,2,0.90%,40.49859,-74.52249,2020-03-25 19:54 EDT,34,35,330.176,0.354356464
Mercer,New Jersey,82,24,0,0.00%,40.28331911,-74.70157374,2020-03-25 19:54 EDT,34,21,368.762,0.222365645
