"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"United States","United States","1,767","41","8","1,718","2020-03-13 03:00:00"
"Washington","United States","457","31","1","425","2020-03-13 02:00:00 * CTY: King 270; Snohomish 108; Pierce 17; Kittitas 3; Island 3; Kitsap 2; Skagit 2; Grant 1; Jefferson 1; Clark 1; Whatcom 1; Thurston 1; Grays Harbor 1; unknown 36"
"New York","United States","325","0","0","325","2020-03-12 23:00:00 * CTY:Westchester 148; NYC 95; Nassau 41; Suffolk 20; Rockland 7; Ulster 4; Saratoga 3; Monroe 1; Albany 2; Orange 1; Delaware 1; Dutchess 1; Herkimer 1"
"California","United States","243","4","2","237","2020-03-13 02:00:00 * CTY: Santa Clara: 66; Los Angeles: 32; San Mateo 20; San Francisco: 19; Sacramento: 17; Contra Costa: 17; Riverside 8; Alameda 7; Placer: 8; San Diego 7; Orange 6; Solano: 6; Santa Cruz 4; Sonoma: 3; Marin 3; San Benito 2; Ventura: 2; Fresno: 2; Calaveras 2; Stanislaus 2; San Joaquin 2; Imperial 2; Humboldt: 1; Yolo: 1; Madera: 1; Shasta: 1; Tulare 1"
"Massachusetts","United States","108","0","1","107","2020-03-12 20:00:00 * CTY: Middlesex 49; Norfolk 24; Suffolk 22; Berkshire 9; Essex 2; Worcester 1; unknown 1"
"Florida","United States","50","2","0","48","2020-03-13 03:00:00 * CTY: Broward 12; Lee 4; Hillsborough 3; Volusia 3; Collier 3; Manatee 2; Alachua 2;Pinellas 2; Sarasota 2; Palm Beach 2; Santa Rosa 1; Charlotte 1; Okaloosa 1; Nassau 1; Pasco 1; Miami-Dade 1; St. Johns 1; Seminole 1; Duval 1; Clay 1; unknown 5"
"Colorado","United States","50","0","0","50","2020-03-13 02:00:00 * CTY: Eagle 11; Pitkin 10; Denver 10; Jefferson 4; Douglas 3; Arapahoe 3; Gunnison 3; Adams 2; Summit 1; El Paso 1; Larimer 1; Boulder 1"
"Georgia","United States","38","1","0","37","2020-03-13 03:00:00 * CTY: Cobb 8; Fulton 7; Dekalb 5; Bartow 4; Floyd 2; Gwinnett 2; Fayette 2; Gordon 2; Polk 1; Cherokee 1; Charlton 1; Lowndes 1; Lee 1; Camden 1"
"Illinois","United States","32","0","2","30","2020-03-12 23:00:00 * CTY: Cook 27; Kane 2; McHenry 2; Lake 1"
"Texas","United States","32","0","0","32","2020-03-13 03:00:00 * CTY: Fort Bend 6; Harris 6; Houston 3; Collin 4; Montgomery 3; Dallas 8; Gregg 1; Tarrant 1"
"New Jersey","United States","31","1","0","30","2020-03-13 02:00:00 * CTY: Bergen 13; Monmouth 5; Burlington 2; Middlesex 4; Camden 1; Hudson 1; Passaic 1; Union 1; Essex 1; Morris 1; Somerset 1"
"Oregon","United States","30","0","0","30","2020-03-13 03:00:00 * CTY: Washington 10; Linn 8; Jackson 2; Umatilla 2; Marion 2; Klamath 1; Douglas 1; Multnomah 1; Polk 1; Deschutes 1; Clackamas 1"
"Pennsylvania","United States","22","0","0","22","2020-03-12 14:00:00 * CTY: Montgomery 13; Bucks 2; Monroe 2; Delaware 1; Wayne 1; Philadelphia 1; Northampton 1; Pike 1"
"Louisiana","United States","19","0","0","19","2020-03-13 02:00:00 * Parish: Orleans 14; Jefferson 2; St. Tammany 1; Caddo 1; Iberia 1"
"Tennessee","United States","18","0","0","18","2020-03-13 02:00:00 * CTY: Williamson 8; Davidson 6; Shelby 2; Sullivan 1; Knox 1"
"Virginia","United States","18","0","0","18","2020-03-13 02:00:00 * CTY: Fairfax 5; Arlington 2; Virginia Beach 2; Loudoun 2; Spotsylvania 1; Hanover 1; Westmoreland 1; Alexandria 1; Harrisonburg 1; unknown 2"
"North Carolina","United States","17","0","0","17","2020-03-13 02:00:00 * CTY: Wake 8; Forsyth 2; Mecklenburg 2; Chatham 1; Durham 1; Johnston 1; Cabarrus 1; unknown 1"
"Iowa","United States","16","0","0","16","2020-03-13 02:00:00 * CTY Johnson 14; Pottawattamie 1; Carroll"
"Indiana","United States","13","0","0","13","2020-03-13 02:00:00 * CTY: Johnson 3; Hendricks 2; Marion 2; Nobel 1; Adams 1; Boone 1; Howard 1; St. Joseph 1; Hancock 1"
"Maryland","United States","12","0","0","12","2020-03-12 02:00:00 * CTY: Montgomery 6; Prince George 4; Harford 1; Baltimore 1"
"South Carolina","United States","12","0","0","12","2020-03-13 02:00:00 * CTY: Kershaw 4; Camden 4; Charleston 1; Spartanburg 1; Lancaster 2"
"Michigan","United States","12","0","0","12","2020-03-13 02:00:00 * CTY: Oakland 3; Kent 3; Washtenaw 2; Wayne 1; St. Clair 1; Ingham 1; Montcalm 1"
"Nevada","United States","11","0","0","11","2020-03-13 02:00:00 * CTY: Clark 8; Washoe 2; Ormsby 1"
"Kentucky","United States","11","0","0","11","2020-03-13 02:00:00 * CTY: Harrison 5; Fayette 3; Jefferson 2; unknown 1"
"Nebraska","United States","11","0","0","11","2020-03-13 03:00:00 * CTY: Douglas 9; Knox 1; Cass 1"
"District of Columbia","United States","10","0","0","10","2020-03-12 02:00:00"
"Arizona","United States","9","0","1","8","2020-03-11 18:00:00 * CTY: Pima 1; Maricopa 3; Pinal 5"
"Minnesota","United States","9","0","0","9","2020-03-13 02:00:00 * CTY: Ramsey 3; Carver 1; Anoka 1; Olmsted 1; Dakota 1; Stearns 1; Hennepin 1"
